competitor,frequency,source_company,sector_labels,status
Guardant Health,1,Tempus AI,Biotech,existing
Guidewire,1,Shift Technology,"Financial Services, Legal tech",existing
Guru,1,Glean,ICT,existing
H Company,1,Open1I,"AI model, Agentic",existing
H company,1,Mistral AI,"AI model, ICT",existing
H2O.AI,1,4Paradigm,"AI model, Professional Services",existing
HP,1,Apple,ICT,existing
HPE,1,Presight AI,"Energy & Utilities, Financial Services, Smart city",existing
Hailo,1,Teraki,"Transport & Mobility, AV",existing
Happiest Minds Technologies,1,Indium,Data,existing
Happy Scribe,1,Amberscript,AI model,existing
Heidi Health,1,Doctolib,Health & Social Care,existing
Hephaestus Analytical,1,Art Recognition,"IT & Security, Art",existing
Heptabase,1,Glean Technologies,"Professional Services, AI model",existing
Here technologies,1,4.screen,"Transport & Mobility, Media & Entertainment",existing
Hisense,1,Samsung Electronics,Hardware,existing
Horowitz,1,Y combinator,ICT,existing
Hour One,1,Synthesia,"AI model, Computer vision",existing
HubSpot,1,Salesforce,"Professional Services, Sales & Marketing, CRM",existing
HubSpot AEO,1,Semrush,"Data, Sales & Marketing",existing
HughGrants,1,OpenGrants,"AI model, ICT",existing
Huma,1,Corti,"Health & Social Care, AI model",existing
Hygon Information Technology,1,Cambricon Technologies,"Hardware, ICT",existing
Hyperstack,1,Nscale,"Cloud Provider, neocloud",existing
Hyro AI,1,EliseAI,"Real Estate Activities, Health & Social Care, Chatbot",existing
Hyundai-Kia,1,Tesla,"Energy & Utilities, Transport & Mobility, Robotics",existing
IDnow,1,Ubble,"AI model, IDV",existing
IQM,1,Multiverse Computing,Quantic,existing
IREN Cloud,1,WhiteFiber,"Cloud Provider, ICT",existing
Ibex Medical Analytics,1,Paige AI,"Biotech, Health & Social Care, Oncology",existing
Ideogram,1,"Midjourney, Inc.","AI model, Computer Vision",existing
Ideogram AI,1,Black Forest Labs,"AI model, Computer Vision, Image generation",existing
Iktos,1,Owkin,"AI model, Health & Social Care",existing
Imperva,1,Cloudflare,"Cloud Provider, IT & Security",existing
InHand Dental,1,DentalMonitoring,"AI model, Health & Social Care, dental",existing
InSilicoTrials,1,EbenBuild,Health & Social Care,existing
Inceptio technology,1,Pony AI,Transport & Mobility,existing
Incode Technologies,1,20face,"Health & Social Care, IT & Security",existing
Infineon Technologies,1,Microchip Technology Inc,ICT,existing
Infleqtion,1,Pasqal,Quantic,existing
Infosy,1,IBM,"AI model, Cloud Provider, Professional Services",existing
Infosys,1,Innodata,"Data, Annotation",existing
Infosys Accenture,1,Indium,Data,existing
Inmarsat,1,SPACE42,"Data, Space",existing
InsightART.,1,Art Recognition,"IT & Security, Art",existing
Insightness,1,Prophesee,"Computer Vision, AI model, Robotics",existing
Instagram,1,YouTube,Media & Entertainment,existing
Instrumental,1,DarwinAI,"Manufacturing & Operations, ICT",existing
Isahit,1,Appen,ICT,existing
JD Worldwide,1,Kaola,Retail & E-commerce,existing
JD.com,1,Alibaba,"Cloud Provider, Financial Services, Retail & E-commerce",existing
Jasper,1,PhotoRoom,"Media & Entertainment, Image generation",existing
Jimeng,1,Kling AI,Image generation,existing
Jimini AI,1,Maigon AB,Legal tech,existing
Johnson & Johnson,1,Volta medical,"AI model, Health & Social Care, Cardio",existing
Juniper Networks,1,Cisco,ICT,existing
Jus Mundi,1,Luminance,ICT,existing
KLA Corporation,1,Quantum Diamonds,"R&D, Quantic",existing
KUKA,1,Franka Emika,"Manufacturing & Operations, Robotics",existing
Kaggle,1,Hugging Face,"Hardware, ICT",existing
Kaluza,1,Kraken Technologies,ICT,existing
Kandou,1,AIME,"Manufacturing & Operations, Professional Services, ICT",existing
Kinova,1,Franka Emika,"Manufacturing & Operations, Robotics",existing
Kira Systems,1,Maigon AB,Legal tech,existing
Kiri Engine,1,Luma AI,ICT,existing
Kodiak Robitics,1,Pony AI,Transport & Mobility,existing
Kodiak Robotics,1,Einride,"Transport & Mobility, Trucks",existing
KodiakRobotics,1,Aurora Innovation,"R&D, ICT",existing
Kore.AI,1,SoundHound AI,"AI model, Voice",existing
Kubeflow.,1,Run:ai,AI tools,existing
LG lectronics,1,Samsung Electronics,Hardware,existing
LLAMAIndex,1,OLLAMA,"AI model, Inference",existing
LLama,1,01.AI,"AI model, ICT",existing
LM studio,1,OLLAMA,"AI model, Inference",existing
Lalal.ai,1,Kyutai,"AI model, Voice",existing
Lalals.com,1,Kyutai,"AI model, Voice",existing
Lambda Labs Bizon Tech,1,AIME,"Manufacturing & Operations, Professional Services, ICT",existing
Landing AI,1,DarwinAI,"Manufacturing & Operations, ICT",existing
LangChain,1,OLLAMA,"AI model, Inference",existing
LangSmith.Arize Phoenix,1,Langfuse,AI model,existing
LatentView Analytics,1,Indium,Data,existing
Legora,1,Harvey,"Professional Services, Legal tech",existing
LendingClub,1,Upstart,Financial Services,existing
Lenovo,1,Apple,ICT,existing
Leroy Merlin,1,ManoMano,Retail & E-commerce,existing
Lexis+ AI / Protégé,1,Harvey,"Professional Services, Legal tech",existing
Lightmatter,1,Arago,"Hardware, Photonic",existing
Lip Reading systems,1,Altavo GmbH,"AI model, Computer Vision, Health & Social Care",existing
Liquid AI,1,Doubleword,"AI model, Inference",existing
Llama,1,OpenAI,ICT,existing
Llama.ccp,1,OLLAMA,"AI model, Inference",existing
Loopio,1,Brainial,"Professional Services, Legal tech, tender",existing
Lucid Motors,1,Tesla,"Energy & Utilities, Transport & Mobility, Robotics",existing
Luminous Computing,1,Arago,"Hardware, Photonic",existing
Luzia,1,Zapia AI,AI model,existing
MGI Tech / Complete Genomics,1,Oxford Nanopore Technologies,"AI model, Health & Social Care",existing
MLflow,1,Langfuse,AI model,existing
Mach Industries,1,Anduril Industries,"Defence, AI model, Drone",existing
Made-in-China.com,1,Alibaba,"Cloud Provider, Financial Services, Retail & E-commerce",existing
Maiia,1,Doctolib,Health & Social Care,existing
Make,1,UiPath,"Manufacturing & Operations, Professional Services, ICT",existing
Manhattan Associates,1,Ameba,Logistics,existing
Manpower,1,Job&Talent,ICT,existing
Manus,1,Dust,"Health & Social Care, Agentic",existing
MarketMuse,1,Semrush,"Data, Sales & Marketing",existing
Marvell,1,AMD,Hardware,existing
Mastercard,1,Ant Group,"Financial Services, AI model, ICT",existing
MedeAnalytics,1,Corti,"Health & Social Care, AI model",existing
MediaTek,1,Qualcomm,Hardware,existing
Medtronic,1,Volta medical,"AI model, Health & Social Care, Cardio",existing
Memorae AI,1,Zapia AI,AI model,existing
MetaAI,1,AMI,"AI model, World Model",existing
MetaOptima / DermEngine,1,AI Medical Technology,"AI model, Biotech, Oncology",existing
Metaflow AI,1,Dust,"Health & Social Care, Agentic",existing
Mews,1,Lightspeed,"Professional Services, Retail & E-commerce",existing
Micron technology,1,Samsung Electronics,Hardware,existing
Microsoft Translator,1,DeepL,ICT,existing
Microsoft(Nuance/DAX Epic) & Oracle,1,Nabla,"AI model, Health & Social Care",existing
Middleware,1,Dash0,AI model,existing
Midjourney / Magnific AI,1,Adobe,ICT,existing
Miiskin,1,AI Medical Technology,"AI model, Biotech, Oncology",existing
MindChip,1,Captain AI,"Transport & Mobility, Marine",existing
MioDottore,1,Doctolib,Health & Social Care,existing
MisterTempo,1,Job&Talent,ICT,existing
Mixpanel,1,ContentSquare,Sales & Marketing,existing
Moore Threads Technology,1,Cambricon Technologies,"Hardware, ICT",existing
MosaicML,1,dstack,"Hardware, AI tools",existing
Mureka,1,Suno AI,"AI model, Music",existing
Musixmatch,1,Shazam,ICT,existing
N/Baidu,1,Weibo,Media & Entertainment,existing
NEURA Robotics,1,RobCo GmbH,"ICT, Manufacturing & Operations",existing
NVision Imaging,1,Quantum Diamonds,"R&D, Quantic",existing
NXP Semiconductors,1,Microchip Technology Inc,Hardware,existing
Natera,1,Tempus AI,Biotech,existing
Nebius,1,5C Group,"Hardware, Infrastructure",existing
Nikon,1,ASML,"Hardware, lithography",existing
Nimbus Therapeutics,1,Cradle,Biotech,existing
Nio,1,Tesla,"Energy & Utilities, Transport & Mobility, Robotics",existing
Nokia,1,Cisco,ICT,existing
Northrop Grumman,1,Anduril Industries,"Defence, AI model, Drone",existing
Notable,1,EliseAI,"Real Estate Activities, Health & Social Care, Chatbot",existing
Notion,1,Glean Technologies,"Professional Services, AI model",existing
Notis,1,Zapia AI,AI model,existing
Nuance Communications,1,SoundHound AI,"AI model, Voice",existing
Numerion Labs,1,Recursion Pharmaceuticals,Biotech,existing
Numurus,1,Teraki,"Transport & Mobility, AV",existing
Nuro,1,Aurora Innovation,"R&D, ICT",existing
OVHcloud,1,Nscale,"Cloud Provider, neocloud",existing
Oculi,1,Prophesee,"Computer Vision, AI model, Robotics",existing
Odyssey,1,World Labs,AI model,existing
OmniVision Technologies,1,Prophesee,"Computer Vision, AI model, Robotics",existing
Omron,1,Cognex,"Computer Vision, AI model",existing
Onfido,1,Ubble,"AI model, IDV",existing
Oosto,1,20face,"Health & Social Care, IT & Security",existing
Open source (Libre Office,1,Microsoft,"Cloud Provider, AI model, Professional Services",existing
Open1I,1,H Company,"AI model, Agentic",existing
OpenAI Moderation API,1,Bodyguard.ai,"IT & Security, Cyber",existing
OpenAI(Sora,1,Luma AI,Artificial Intelligence,existing
OpenGrants,1,HughGrants,"AI model, ICT",existing
OpenIA,1,IBM,"AI model, Cloud Provider, Professional Services",existing
Openhands,1,Cognition,ICT,existing
Oppo,1,Samsung Electronics,Hardware,existing
Oracle Health,1,Ambiance Healthcare,Health & Social Care,existing
Orangewood Labs,1,RobCo GmbH,"ICT, Manufacturing & Operations",existing
Orbify,1,Skylab,ICT,existing
Orca AI,1,Captain AI,"Transport & Mobility, Marine",existing
Oriole Networks,1,Ciena,"Hardware, Photonic",existing
Otter.ai,1,Amberscript,AI model,existing
Oxa,1,Teraki,"Transport & Mobility, AV",existing
POly AI,1,Decagon,"Sales & Marketing, Retail & E-commerce, Chatbot",existing
PTC,1,3ive AI,"ICT, Manufacturing & Operations, Transport & Mobility",existing
Pacific Biosciences,1,Oxford Nanopore Technologies,"AI model, Health & Social Care",existing
Palo Alto Networks 100 à 110 milliards $,1,Guard Technology,"IT & Security, Cyber",existing
Palo alto Networks,1,Cisco,ICT,existing
PathAI,1,Paige AI,"Biotech, Health & Social Care, Oncology",existing
Pebblely,1,PhotoRoom,"Media & Entertainment, Image generation",existing
Perplexity,1,you.com,"AI model, Hardware, ICT",existing
Persistent Systems,1,Indium,Data,existing
PharmAI,1,Xaira Therapeutics,"Biotech, AI model",existing
PhaseCraft,1,Quantistry,"R&D, AI model, Chemistry",existing
Phreesia,1,EliseAI,"Real Estate Activities, Health & Social Care, Chatbot",existing
Picterra,1,Skylab,ICT,existing
Pika Labs,1,Runway,"Media & Entertainment, AI model, Image generation",existing
Pinduoduo,1,Alibaba,"Cloud Provider, Financial Services, Retail & E-commerce",existing
Pixelcut,1,PhotoRoom,"Media & Entertainment, Image generation",existing
Plany,1,Job&Talent,ICT,existing
Playyy,1,PhotoRoom,"Media & Entertainment, Image generation",existing
Plomberie-Pro,1,ManoMano,Retail & E-commerce,existing
Poke,1,Zapia AI,AI model,existing
Poly AI,1,Sierra,Sales & Marketing,existing
PolyAI,1,SoundHound AI,"AI model, Voice",existing
Pony.AI,1,Wayve,ICT,existing
Pony.ai,1,WeRide,Transport & Mobility,existing
Positionnement,1,Ambiance Healthcare,Health & Social Care,existing
Presight AI,1,HPE,"Energy & Utilities, Financial Services, Smart city",existing
PrivateID,1,20face,"Health & Social Care, IT & Security",existing
Proscia,1,Paige AI,"Biotech, Health & Social Care, Oncology",existing
Prosper,1,Upstart,Financial Services,existing
PublicAI,1,Scale AI,"Data, Annotation",existing
QC Ware,1,Multiverse Computing,Quantic,existing
Quantistry,1,PhaseCraft,"R&D, AI model, Chemistry",existing
Quantum Design,1,Quantum Diamonds,"R&D, Quantic",existing
Quantum Systems,1,Anduril Industries,"Defence, AI model, Drone",existing
Quantum metric,1,ContentSquare,Sales & Marketing,existing
RAsa,1,SoundHound AI,"AI model, Voice",existing
Rad AI,1,Gleamer,"AI model, Health & Social Care",existing
Rain AI,1,Arago,"Hardware, Photonic",existing
Rambus,1,Kandou AI,"Hardware, Chip",existing
Randstad,1,Job&Talent,ICT,existing
Rankfender,1,Semrush,"Data, Sales & Marketing",existing
RapidAI,1,Gleamer,"AI model, Health & Social Care",existing
Rasa,1,Domyn,ICT,existing
RealPage,1,EliseAI,"Real Estate Activities, Health & Social Care, Chatbot",existing
Recraft AI,1,Black Forest Labs,"AI model, Computer Vision, Image generation",existing
Refuel,1,Scale AI,"Data, Annotation",existing
Relay Therapeutics,1,Recursion Pharmaceuticals,Biotech,existing
Renesas Electronics,1,Microchip Technology Inc,ICT,existing
Rephrase.ai,1,Adobe,ICT,existing
ResiDesk,1,EliseAI,"Real Estate Activities, Health & Social Care, Chatbot",existing
Resolve AI,1,Dash0,AI model,existing
Responsive,1,Brainial,"Professional Services, Legal tech, tender",existing
Reverso and Yandex,1,DeepL,ICT,existing
Rhoda AI,1,Physical Intelligence,"AI model, Robotics",existing
Rivian,1,Tesla,"Energy & Utilities, Transport & Mobility, Robotics",existing
Roche,1,Tempus AI,Biotech,existing
S&P Global,1,Thomson Reuters,"Data, Media & Entertainment, News",existing
SE ranking,1,Semrush,"Data, Sales & Marketing",existing
SES Satellites,1,SPACE42,"Data, Space",existing
SGlang,1,VLLM,"AI model, Hardware, Inference Server",existing
SK hynix,1,Samsung Electronics,Hardware,existing
SKF Ensemble,1,Prognostix AB,R&D,existing
SMEE,1,ASML,"Hardware, lithography",existing
SMIC,1,TSMC,"Hardware, Chip",existing
SS&C Blue Prism,1,UiPath,"Manufacturing & Operations, Professional Services, ICT",existing
SSI,1,Recursive Superintelligence,"AI model, RSI, Agentic",existing
STMicroelectronics,1,Microchip Technology Inc,ICT,existing
Sama,1,Scale AI,"Data, Annotation",existing
SambaNova,1,Groq,"AI model, Inference",existing
Samsung,1,Apple,ICT,existing
Samsung Bixby,1,Siri,ICT,existing
Saunoto,1,Suno AI,"AI model, Music",existing
Scaleway,1,Nscale,"Cloud Provider, neocloud",existing
Scribe Médical,1,Doctolib,Health & Social Care,existing
Sea Machines Robotics,1,Captain AI,"Transport & Mobility, Marine",existing
Semiconductors,1,Qualcomm,Hardware,existing
SenseTime,1,N/A,ICT,existing
Septeo,1,Lawx,"Manufacturing & Operations, Professional Services, LawTech",existing
Sequoia,1,Y combinator,ICT,existing
Sereact,1,RobCo GmbH,"ICT, Manufacturing & Operations",existing
ServiceNow,1,Celonis,"Manufacturing & Operations, Professional Services",existing
Shengshu Technology,1,Black Forest Labs,"AI model, Computer Vision, Image generation",existing
Shield AI,1,Anduril Industries,"Defence, AI model, Drone",existing
Siemens Digital Industries Software,1,3ive AI,"ICT, Manufacturing & Operations, Transport & Mobility",existing
Sierra AI,1,Domyn,ICT,existing
SiliconFlow,1,Groq,"AI model, Inference",existing
Simus Systems,1,3ive AI,"ICT, Manufacturing & Operations, Transport & Mobility",existing
Sinequa,1,Glean,ICT,existing
Singular Genomics,1,Oxford Nanopore Technologies,"AI model, Health & Social Care",existing
Skin Analytics,1,AI Medical Technology,"AI model, Biotech, Oncology",existing
SkinIO,1,AI Medical Technology,"AI model, Biotech, Oncology",existing
Skydio,1,Anduril Industries,"Defence, AI model, Drone",existing
Slack AI,1,Glean,Artificial Intelligence,existing
Snap,1,Meta,"AI model, Media & Entertainment, Advertising",existing
SnapChat,1,Meta,"AI model, Media & Entertainment, Advertising",existing
Snthflow,1,SoundHound AI,"AI model, Voice",existing
SoFi,1,Upstart,Financial Services,existing
Software AG,1,Celonis,"Manufacturing & Operations, Professional Services",existing
Sonix,1,Amberscript,AI model,existing
Sophos Endpoint,1,SentinelOne,Cybersécurité,existing
SoundHound,1,Shazam,ICT,existing
Sourceful,1,Ameba,Logistics,existing
SpaceX,1,ArianeGroup,"Cloud Provider, Data, Aerospace",existing
SparkCognition,1,Prognostix AB,R&D,existing
Spellbook,1,Harvey,"Professional Services, Legal tech",existing
Spheron,1,Nscale,"Cloud Provider, neocloud",existing
Spotify,1,Apple,ICT,existing
Square,1,Lightspeed,"Professional Services, Retail & E-commerce",existing
Squarespace,1,Shopify,Retail & E-commerce,existing
Stabilitye AI,1,"Midjourney, Inc.","AI model, Computer Vision",existing
Stack AV,1,Aurora Innovation,"R&D, ICT",existing
StaffMe,1,Job&Talent,ICT,existing
Startbahn,1,Art Recognition,"IT & Security, Art",existing
State Street Global Advisors,1,BlackRock,ICT,existing
StepFun,1,01.AI,"AI model, ICT",existing
Straumann Group,1,DentalMonitoring,"AI model, Health & Social Care, dental",existing
Stripe,1,Ant Group,"Financial Services, AI model, ICT",existing
Suki,1,Ambiance Healthcare,Health & Social Care,existing
Suki AI,1,Corti,"Health & Social Care, AI model",existing
Superannotate,1,Scale AI,"Data, Annotation",existing
Supertone,1,Waves Audio,Audio,existing
Surfer SEO,1,Semrush,"Data, Sales & Marketing",existing
Surge AI,1,Scale AI,"Data, Annotation",existing
Symbotic,1,AMC Robotics Corporation,Robotics,existing
Synapse Medicine,1,Doctolib,Health & Social Care,existing
System76,1,AIME,"Manufacturing & Operations, Professional Services, ICT",existing
TCL,1,Samsung Electronics,Hardware,existing
Talen Energy,1,Crusoe,"Manufacturing & Operations, Agentic, Automation",existing
Talkdesk,1,SoundHound AI,"AI model, Voice",existing
Tandem Health,1,Doctolib,Health & Social Care,existing
Tanium (Gestion des endpoints) : 8 à 10 milliards $,1,Guard Technology,"IT & Security, Cyber",existing
Tata,1,IBM,"AI model, Cloud Provider, Professional Services",existing
Teal Drones,1,Anduril Industries,"Defence, AI model, Drone",existing
Techstars,1,Y combinator,ICT,existing
Teledyne,1,Cognex,"Computer Vision, AI model",existing
Telegram,1,Meta,"AI model, Media & Entertainment, Advertising",existing
Telenav,1,4.screen,"Transport & Mobility, Media & Entertainment",existing
Telus digital,1,Scale AI,"Data, Annotation",existing
Tempus,1,Owkin,"AI model, Health & Social Care",existing
Tencent Cloud,1,4Paradigm,"AI model, Professional Services",existing
Texas Instruments,1,Microchip Technology Inc,ICT,existing
Thales Group,1,20face,"Health & Social Care, IT & Security",existing
The Librarian,1,Zapia AI,AI model,existing
The Vanguard Group,1,BlackRock,ICT,existing
Thinking Machines Lab,1,AMI,"AI model, World Model",existing
Thonson Reuteur,1,Harvey AI,"Professional Services, LawTech",existing
TikTok,1,YouTube,Media & Entertainment,existing
Tisane Labs,1,Bodyguard.ai,"IT & Security, Cyber",existing
Tmall Global,1,Kaola,Retail & E-commerce,existing
Toast,1,Lightspeed,"Professional Services, Retail & E-commerce",existing
Together AI,1,Crusoe,"Manufacturing & Operations, Agentic, Automation",existing
TogetherAI,1,Hugging Face,"Hardware, ICT",existing
TopDoctors,1,Doctolib,Health & Social Care,existing
Torc Robotics,1,Aurora Innovation,"R&D, ICT",existing
Toyota,1,Tesla,"Energy & Utilities, Transport & Mobility, Robotics",existing
Transkriptor,1,Amberscript,AI model,existing
Translate.,1,DeepL,ICT,existing
Tribun Health,1,Owkin,"AI model, Health & Social Care",existing
Trint,1,Amberscript,AI model,existing
Trulens,1,Langfuse,AI model,existing
Twin,1,Dust,"Health & Social Care, Agentic",existing
Twitch,1,YouTube,Media & Entertainment,existing
Two Hat,1,Bodyguard.ai,"IT & Security, Cyber",existing
UNISOC,1,Qualcomm,Hardware,existing
Udio,1,Suno AI,"AI model, Music",existing
Unitree,1,Figure AI,Robotics,existing
Universal Audio,1,Waves Audio,Audio,existing
Uptake,1,Prognostix AB,R&D,existing
VIP.com,1,Kaola,Retail & E-commerce,existing
Valo Health,1,Recursion Pharmaceuticals,Biotech,existing
Veriff,1,Ubble,"AI model, IDV",existing
Verisart,1,Art Recognition,"IT & Security, Art",existing
Vidu,1,Runway,"Media & Entertainment, AI model, Image generation",existing
Vimeo,1,YouTube,Media & Entertainment,existing
Virtonomy,1,EbenBuild,Health & Social Care,existing
Visa,1,Ant Group,"Financial Services, AI model, ICT",existing
Vision One,1,SentinelOne,Cybersécurité,existing
Volkswagen Group,1,Tesla,"Energy & Utilities, Transport & Mobility, Robotics",existing
Voltage Park,1,WhiteFiber,"Cloud Provider, ICT",existing
Walmart,1,Amazon,"Retail & E-commerce, Cloud Provider, Sales & Marketing",existing
WandB Prompts,1,Langfuse,AI model,existing
WeChat,1,Meta,"AI model, Media & Entertainment, Advertising",existing
Windsurf,1,Anysphere,"AI model, Code, Saas",existing
Wipro,1,Innodata,"Data, Annotation",existing
Wisedocs,1,Yseop,"AI model, Health & Social Care",existing
Wix ecommerce,1,Shopify,Retail & E-commerce,existing
Wiz (Sécurité Cloud) : 32 milliards $,1,Guard Technology,"IT & Security, Cyber",existing
WizStudio,1,PhotoRoom,"Media & Entertainment, Image generation",existing
Woocommerce,1,Shopify,Retail & E-commerce,existing
X,1,Meta,"AI model, Media & Entertainment, Advertising",existing
Xaira Therapeutics,1,PharmAI,"Biotech, AI model",existing
Xiaimi,1,Samsung Electronics,Hardware,existing
Xpeng,1,Tesla,"Energy & Utilities, Transport & Mobility, Robotics",existing
Yoti,1,Ubble,"AI model, IDV",existing
Zapata Computing,1,Multiverse Computing,Quantic,existing
Zapier,1,UiPath,"Manufacturing & Operations, Professional Services, ICT",existing
Zelty,1,Lightspeed,"Professional Services, Retail & E-commerce",existing
Zencargo,1,Ameba,Logistics,existing
Zendesk AI,1,Decagon,"Sales & Marketing, Retail & E-commerce, Chatbot",existing
Zhihu,1,Weibo,Media & Entertainment,existing
Zocdoc,1,Doctolib,Health & Social Care,existing
Zoom,1,Cisco,ICT,existing
brighter AI,1,20face,"Health & Social Care, IT & Security",existing
bytedanse,1,Google,"AI model, Media & Entertainment, Sales & Marketing",existing
civitai,1,Hugging Face,"Hardware, ICT",existing
grandes CRO,1,Yseop,"AI model, Health & Social Care",existing
gridX,1,Kraken Technologies,ICT,existing
iMerit,1,Scale AI,"Data, Annotation",existing
iProov,1,20face,"Health & Social Care, IT & Security",existing
illumina,1,Oxford Nanopore Technologies,"AI model, Health & Social Care",existing
incident.io,1,Dash0,AI model,existing
iniVation,1,Prophesee,"Computer Vision, AI model, Robotics",existing
n8n,1,UiPath,"Manufacturing & Operations, Professional Services, ICT",existing
onsemi,1,Microchip Technology Inc,ICT,existing
pendo,1,ContentSquare,Sales & Marketing,existing
similarweb,1,Semrush,"Data, Sales & Marketing",existing
tl;dv,1,Amberscript,AI model,existing
xSeek,1,Semrush,"Data, Sales & Marketing",existing
you.com,1,Perplexity,"AI model, Hardware, ICT",existing
