id,name,sector,organization_type,country,headquarter_city,founded_year,description,website,logo_url,capitalization,funds_raised,revenue_millions,employees_count,main_investors,main_competitors,participation,main_acquisitions,key_resources,strategic_partnerships,is_validated,end_year,end_reason,company_status,created_at,updated_at,profit_millions,capex_millions,rd_expenses_millions,community_size,community_unit,sector_domains
938,Lexplore,Education,,Sweden,,,"By combining the latest in AI and eye-tracking technology, our unique, paperless assessment can offer an entirely new insight into literacy, analysing a child’s skills across key reading components, determining their attainment, and highlighting potential difficulties in a matter of minutes.",https://www.lexplore.com,https://www.google.com/s2/favicons?sz=128&domain=lexplore.com,,,,,,,,,,,0,,,Active,2026-07-22 09:33:03,2026-08-23 17:13:46,,,,,,Consumer & Society
3007,LinkedIn Learning,"Education, EdTech, E-Learning, Professional Education & Skill Development, Enterprise Learning & Workforce Training",Subsidiary,United States,"Carpinteria, California (legacy Lynda.com HQ) / Sunnyvale, California (LinkedIn HQ)",1995,"LinkedIn Learning is an online learning platform offering over 24,000 video courses taught by industry experts across business, creative, and technology domains. Originating as Lynda.com in 1995, it was acquired by LinkedIn in 2015 for $1.5 billion and integrated into LinkedIn's professional networking ecosystem. The platform serves individual professionals, corporate enterprise clients, and educational institutions, combining course completion badges directly with LinkedIn profiles and skill insights.",https://www.linkedin.com/learning,https://commons.wikimedia.org/wiki/File:LinkedIn_Learning_logo.png,,289,500,1500,"Formerly Accel, Spectrum Equity, Meritech Capital Partners, and TPG Capital (prior to acquisition); currently 100% owned by Microsoft Corporation","Coursera, Udemy, Pluralsight, Skillshare, edX, MasterClass, Udacity","Over 24,000 courses in 7+ languages with skill assessment tests and automated profile endorsements","video2brain (2013), Compilr (2014) — both acquired during the Lynda.com era","Proprietary library of video tutorials, AI-powered course recommendations, LinkedIn skill graph data, LMS integrations (Cornerstone, SuccessFactors)","Enterprise corporate clients (including Fortune 500 companies), higher education institutions, public library systems, Microsoft 365 / Viva Learning platform",3,,,Active,2026-09-04 16:57:59,2026-09-05 11:53:56,,,,27000000,user,Consumer & Society
960,Lumi Labs,Education,Seed,Sweden,,,Empowering next gen learners with AI educational experiences,https://www.lingolooper.com,https://www.google.com/s2/favicons?sz=128&domain=lingolooper.com,,,,,,,,,,,0,,,Active,2026-07-22 09:33:04,2026-08-23 17:13:46,,,,,,Consumer & Society
3001,MagicSchool AI,"Education, Generative Media, Natural Language Processing, SaaS, Workflow & Productivity",Private company,United States,"Denver, Colorado",2023,"MagicSchool AI is an all-in-one generative AI platform built specifically for K-12 educators, school leaders, and students. Founded by former school principal Adeel Khan, the platform offers 60+ specialized AI tools to streamline lesson planning, IEP drafting, text leveling, quiz creation, and administrative communication, while providing a student-facing environment (MagicStudent) for AI literacy.",https://www.magicschool.ai/,https://www.google.com/search?q=https://logo.clearbit.com/magicschool.ai,,63,,170,"Bain Capital Ventures, Adobe Ventures, Valor Equity Partners, GSV Ventures, Range Ventures, Reach Capital, Smash Capital, Atreides Management","Brisk Teaching, Diffit, Playlab, Eduaide.ai, Khanmigo",,,"Web app suite of 60+ AI tools, MagicStudent platform, Chrome extension, and enterprise district data security controls","Over 10,000 schools and school districts across 160+ countries",3,,,Active,2026-09-04 16:55:55,2026-09-05 11:48:28,,,,8000000,user,"Artificial Intelligence, Consumer & Society, Software & Delivery"
995,MemoryLab,"Education, Industrial & Manufacturing, Operations, Professional Services",,Netherlands,,,"The MemoryLab method is based on scientific research in cognitive psychology. Several studies show that learning with the MemoryLab system leads to better results compared to non-adaptive learning methods: the efficiency increases up to 10%. This way, students never spend more time learning facts than necessary.",https://www.memorylab.nl/en/,https://www.google.com/s2/favicons?sz=128&domain=memorylab.nl,,,,,,,,,,,0,,,Active,2026-07-22 09:33:04,2026-08-23 17:13:46,,,,,,"Consumer & Society, Finance & Capital, Industry & Manufacturing"
117,Mind Foundry,"AI model, Education",,United Kingdom,,,"Mind Foundry is an educational technology platform providing personalized, badge-based learning and tutoring for children through gamified AI-powered education.",https://mindfoundry.co,https://www.google.com/s2/favicons?sz=128&domain=mindfoundry.co,,,,,,,,,,,0,,,,2026-07-22 08:58:32,2026-08-16 17:00:05,,,,,,"Artificial Intelligence, Consumer & Society"
1041,Myracle.io,Education,,Germany,,,"Unlock hands-on STEM education in the real world, with accessible mixed reality and AI technology.",https://myracle.io/,https://www.google.com/s2/favicons?sz=128&domain=myracle.io,,,,,,,,,,,0,,,,2026-07-22 09:33:05,2026-08-16 06:19:26,,,,,,Consumer & Society
2161,Nebius Group,"Industrial & Manufacturing, Operations, Cloud Provider, Inference & Model Serving, Education",,Netherlands,Amsterdam,2004,"Voici l'analyse structurelle complète de Nebius Group (NASDAQ : NBIS), l'un des leaders de la révolution de l'infrastructure d'intelligence artificielle (Neocloud), établie selon votre grille de critères habituelle :, Fondation : Initialement lancée sous une autre forme en 2004, l'entreprise est issue de la scission et de la restructuration des activités internationales du géant technologique Yandex à la suite de la séparation définitive de ses actifs russes.Le pivot et la renaissance : Officiellement rebaptisée Nebius Group en août 2024, la société s'est repositionnée sous la direction d'Arkady Volozh pour devenir un acteur indépendant mondial de l'infrastructure Cloud centrée sur l'IA.Actualité récente (Août 2026) : L'action a connu un rallye de +34 % à la mi-août 2026 à la suite de la publication de résultats financiers exceptionnels, provoquant un effet de resserrement (short squeeze) face à des positions vendeuses massives (notamment celle de l'investisseur Michael Burry). Technologie : Une infrastructure cloud de type Full-Stack (du silicium jusqu'aux APIs) optimisée exclusivement pour le Machine Learning. Nebius possède le statut de partenaire de référence privilégié pour les architectures de calcul de NVIDIA (NVIDIA Cloud Partner).Bénéfice client : Offrir aux développeurs d'IA et aux grands laboratoires de recherche un accès direct à des grappes de serveurs (clusters) de calcul massives (GPU H100, H200 et puces Blackwell d'architecture NVIDIA) avec des coûts d'inférence et de réglage fin (fine-tuning) jusqu'à 40 % à 110 % plus avantageux que ceux d'Amazon Web Services (AWS). Infrastructure-as-a-Service (IaaS) pour l'IA : Location de puissance de calcul et de stockage à haute performance. Ses contrats majeurs s'articulent autour de mégajus de puissance électrique informatique (Mégawatts) loués à l'année à de grands clients (tels que Microsoft, Cohere ou Meta).Modèle ""Asset-Light"" (Nouveauté 2026) : Pour réduire l'intensité de ses investissements en capital, Nebius déploie des partenariats où des investisseurs tiers financent et possèdent les centres de données physiques, tandis que Nebius fournit la pile logicielle, les serveurs technologiques et gère la relation client.  Marques et participations : Outre sa plateforme principale Nebius AI, le groupe englobe Avride (conduite autonome et robots de livraison), TripleTen (EdTech) ainsi que des participations financières dans Toloka AI et ClickHouse.",,,73590,,2000,500,,"Crusoe, CoreWeave, Lambda Labs, Lambda Cloud, AWS, Google Cloud, Azure",,,,,1,,,Active,2026-08-11 13:06:05,2026-08-21 17:54:49,236,,,,,"Compute & Infrastructure, Consumer & Society, Industry & Manufacturing"
2916,Oboe,"Education, Generative Media",Startup,United States,New York,,"Oboe is an AI-powered learning company founded by Nir Zicherman and Michael Mignano, the co-founders of the podcasting platform Anchor, which was acquired by Spotify. TechCrunch covered the product launch on 10 September 2025, and Zicherman published a co-written introduction on Medium the same week. An initial round of about $4 million accompanied the launch; on 10 December 2025 TechCrunch reported a $16 million Series A led by a16z, with participation from existing investors Eniac, Haystack, Offline and Factorial, taking cumulative funding to roughly $20 million. Mignano remains a full-time partner at Lightspeed while serving as co-founder.
The value proposition is to let anyone learn anything by generating a personalised course on demand. The chat-based app first identifies the learner's goal, then generates chapters and materials in multiple formats — lessons and articles, AI-generated podcasts, images and diagrams, flashcards, study guides and quizzes. Oboe's own site summarises this as ""chat that actually teaches you"": structured, cited, personalised and interactive, in contrast with generic chatbot answers. The company has since shipped a rebuilt version described in its blog post ""Introducing the All New Oboe"".
On the business model, coverage of the September 2025 launch reports that Oboe offers both a free tier and paid tiers, i.e. a consumer freemium subscription. Enterprise or education licensing was not confirmed on a fetched page.
Listed by CB Insights among the most promising AI startups for 2026 (category: Industry applications > Consumer & retail).",https://oboe.com,,,20,,,"Andreessen Horowitz (a16z), Eniac Ventures, Haystack, Offline Ventures, Factorial",,,,,,3,,,,2026-08-23 15:14:19,2026-08-23 16:37:55,,,,,,"Artificial Intelligence, Consumer & Society"
2995,OnlineMedEd,"Education, HealthTech, MedTech, Workflow & Productivity, SaaS",Private company,United States,"Austin, Texas",2012,"OnlineMedEd is a digital medical education platform designed to guide medical students, residents, and healthcare professionals through their clinical training. Co-founded by Dr. Dustyn Williams, the platform delivers video lectures, concise clinical notes, flashcards, and board exam question banks (USMLE, COMLEX, shelf exams) structured to help students learn clinical reasoning for both examinations and hospital ward rotations.",https://www.onlinemeded.com/,https://www.google.com/search?q=https://logo.clearbit.com/onlinemeded.com,,25.6,8,55,"Lumos Capital Group, Impact Engine, For Good Ventures, Texas Venture Labs","AMBOSS, Osmosis, Sketchy, Picmonic, UWorld",,Acquired by Archer Review,"Comprehensive clinical video library, USMLE/COMLEX Q-banks, clinical decision diagrams, and Pacing Guide study schedule engine","Archer Review, U.S. and international medical schools, residency programs",3,,Acquisition,Acquired,2026-09-04 16:54:10,2026-09-05 11:45:34,,,,300000,user,"Consumer & Society, Health & Life Sciences, Software & Delivery"
79,OpenEvidence,"HealthTech, RAG, SaaS, Education, Pharmatech",Private company,United States,"Miami, Florida",2021,"America's Official Medical Knowledge Platform partnering with NEJM, JAMA, and NCCN to bring trusted clinical evidence and AI-powered medical intelligence to healthcare professionals.",https://openevidence.com,https://www.google.com/s2/favicons?sz=128&domain=openevidence.com,12000,700,300,90,"Thrive Capital, DST Global, Sequoia Capital, Google Ventures (GV), Kleiner Perkins, Nvidia, Blackstone, Goldman Sachs, Morgan Stanley, Andreessen Horowitz, Mayo Clinic, and Memorial Sloan Kettering Cancer Center","Consensus, Hippocratic AI, Glass Health, Atropos Health, Amboss, Medwise AI, and traditional tools like UpToDate",Strategic minority investments from clinical institutional partners.,None disclosed,"Proprietary RAG architecture, deep learning medical LLMs, and heavily guarded, licensed access to full-text medical content libraries.","The New England Journal of Medicine (NEJM), JAMA Network, National Comprehensive Cancer Network (NCCN), Nature Portfolio, Cochrane Systematic Reviews, Springer Nature, and OneOncology.",1,,,Active,2026-07-22 08:58:32,2026-09-02 14:03:50,0,,,860000,,"Artificial Intelligence, Consumer & Society, Health & Life Sciences, Software & Delivery"
2992,Osmosis,"Education, Medical Education, EdTech, Adaptive Learning, Visual Micro-learning",Private company,United States,"Salt Lake City, UT",2012,"Osmosis (Knowledge Diffusion, Inc.) is a digital health education platform providing animated videos, interactive flashcards, and adaptive question banks for healthcare students, professionals, and patients. Founded by Johns Hopkins medical students Shiv Gaglani and Ryan Haynes, the platform simplifies complex clinical concepts across medical, nursing, and allied health curricula. In November 2021, global information and analytics publisher Elsevier acquired Osmosis to expand its digital healthcare education portfolio.",https://www.osmosis.org/,https://www.google.com/search?q=https://www.osmosis.org/assets/images/logo-osmosis.svg,,6.55,,100,"Felicis Ventures, Greycroft, FundRx, Coverys, SEI Ventures, LearnStart, Social Starts, Figure 8, Dreamit Ventures","AMBOSS, Lecturio, Sketchy Medical, Picmonic, OnlineMedEd, BoardVitals","Continuing Medical Education (CME) accreditation, Care for Caregivers Initiative",Acquired by Elsevier (November 2021),"2,000+ animated medical videos, adaptive spaced-repetition Q-bank, USMLE/NCLEX/PANCE preparation tools, learning analytics engine","Elsevier, Johns Hopkins University, Khan Academy (alumni creators), 100+ medical and nursing institutions worldwide",3,2021,Acquisition,Acquired,2026-09-04 16:53:28,2026-09-05 11:42:40,,,,3500000,customer,Consumer & Society
1156,Parsd AB,"Education, R&D",,Sweden,,,Digital end-to-end research for fact-based insights,https://parsd.com,https://www.google.com/s2/favicons?sz=128&domain=parsd.com,,,,,,,,,,,0,,,,2026-07-22 09:33:06,2026-08-23 09:06:03,,,,,,"Consumer & Society, Public Research & Trust"
2993,Picmonic,"Education, MedTech, HealthTech, SaaS, Workflow & Productivity",Subsidiary,United States,"Phoenix, Arizona (originally founded in Tucson)",2011,"Picmonic is an audiovisual learning platform that uses animated picture mnemonics to help medical, nursing, pharmacy, and healthcare students master complex topics. The platform transforms medical facts, pharmacology, and anatomy concepts into memorable visual stories and quizzes, using active recall and spaced repetition to improve long-term memory retention and exam scores.",https://www.picmonic.com/,https://www.google.com/search?q=https://logo.clearbit.com/picmonic.com,,7.1,,40,"Desert Angels, Arizona Commerce Authority, Brookstone Venture Capital","Osmosis, AMBOSS, Sketchy, Lecturio, UWorld, Anki",,Acquired by TrueLearn (backed by LLR Partners) in June 2021,"Library of 10,000+ picture mnemonics (Picmonics), 20,000+ practice questions, spaced repetition quiz engine, and iOS/Android mobile apps","TrueLearn, medical schools, nursing colleges, and allied health educational programs",3,,Acquisition,Acquired,2026-09-04 16:53:45,2026-09-05 11:37:50,,,,1000000,user,"Consumer & Society, Health & Life Sciences, Software & Delivery"
3005,Playlab,"Education, Generative Media, Natural Language Processing, SaaS, Workflow & Productivity",NGO,United States,"Los Angeles, California",2023,"Playlab (Playlab AI) is a technology nonprofit that empowers educators, schools, and districts to build and adapt their own generative AI learning tools without coding. Through an open, steerable platform equipped with customizable guardrails, Playlab enables teachers to create task-specific classroom apps, automate instructional workflows, and remix community-built resources.",https://www.playlab.ai/,https://www.google.com/search?q=https://logo.clearbit.com/playlab.ai,,,,18,"Philanthropic grantmakers & ecosystem funds (Google.org, Amazon Future Engineer, NewSchools Venture Fund)","MagicSchool AI, Diffit, Eduaide.ai, Khanmigo",White House Presidential AI Challenge ecosystem partner,,"Playlab AI App Builder platform, customizable guardrail framework, educator community library","Amazon Future Engineer, Google.org, state departments of education (including Idaho, Indiana, and Tennessee), and multiple U.S. public school districts",3,,,Active,2026-09-04 16:56:45,2026-09-05 11:34:46,,,,100000,user,"Artificial Intelligence, Consumer & Society, Software & Delivery"
3009,Pluralsight,"Education, Developer Tools, ICT, SaaS, Workflow & Productivity",Private company,United States,"Westlake, Texas",2004,"Pluralsight is an enterprise technology workforce development platform providing video training, hands-on labs, and skill assessment tools for software developers, IT administrators, cybersecurity professionals, and cloud engineers. The platform utilizes adaptive skill evaluation metrics (Skill IQ and Role IQ) alongside structured learning paths and interactive cloud sandboxes to help businesses upskill technical teams at scale.",https://www.pluralsight.com,https://logo.clearbit.com/pluralsight.com,,235,500,2000,"Blue Owl Capital, Ares Management, BlackRock, Goldman Sachs, Golub Capital (Formerly Vista Equity Partners, Insight Partners, Iconiq Capital)","Udemy, Coursera, O'Reilly Media, LinkedIn Learning, Codecademy, Cloud Academy",,"A Cloud Guru, GitPrime, Code School, Smarterer, Digital-Tutors, Next Tech","Library of 7,000+ technology courses, Skill IQ & Role IQ assessment engines, hands-on cloud sandboxes, and enterprise skill analytics","AWS, Microsoft Azure, Google Cloud Platform, and over 70% of Fortune 500 organizations",3,,,Active,2026-09-04 16:58:25,2026-09-05 11:26:56,,,,17000000,user,"Consumer & Society, Software & Delivery"
2987,Praktika,"Education, Generative Media, Natural Language Processing, SaaS, Voice & Audio AI",Private company,United States,"Wilmington, Delaware",2020,"Praktika (Praktika.ai) is an AI-powered language learning platform that delivers interactive, conversational language practice using ultra-realistic AI avatars. Functioning as personalized tutors with distinct accents, backstories, and personalities, Praktika's digital coaches guide users through real-world scenario roleplays, real-time pronunciation and grammar corrections, adaptive daily lessons, and multimodal study tools.",https://praktika.ai/,https://www.google.com/imgres?q=praktika%20ai&imgurl=https%3A%2F%2Fplay-lh.googleusercontent.com%2FgEePJt56_x460CHEDnLIrPKUBP4DqVgNoJjD6kSDlUEQ3ynRGaPmHO6s343wQnQ47kPd310OnZC_CMBldMJ9%3Dw240-h480-rw&imgrefurl=https%3A%2F%2Fplay.google.com%2Fstore%2Fapps%2Fdetails%3Fid%3Dai.praktika.android%26hl%3Dfr&docid=wazEKqH6nzQ6SM&tbnid=8OvO8M34Dh_8_M&vet=12ahUKEwiCoYXBr9WWAxW6V6QEHblgB6cQnPAOegQIPxAA..i&w=240&h=240&hcb=2&ved=2ahUKEwiCoYXBr9WWAxW6V6QEHblgB6cQnPAOegQIPxAA,,38,20,55,"Blossom Capital, Creator Ventures, Blue Wire Capital, TMT Investments, Patrice Evra, Carles Reina","Speak, Talkpal, ELSA Speak, Duolingo, Langotalk, Tutor Lily",,,"Interactive AI Avatar engine, conversational speech recognition and pronunciation feedback models, iOS and Android mobile apps",Creator/affiliate network and corporate B2B clients,3,,,Active,2026-09-04 09:15:18,2026-09-04 16:43:47,,,,5000000,user,"Artificial Intelligence, Consumer & Society, Software & Delivery"
2998,Remind,"Education, SaaS, Workflow & Productivity, ICT, Developer Tools",Private company,United States,"San Francisco, California",2011,"Remind (originally Remind101) is a communication and engagement platform built specifically for PreK-12 education. It allows teachers, school administrators, students, and parents to stay connected through secure two-way mobile messaging, class announcements, and district-wide alerts—supporting instant translation into over 90 languages without sharing personal phone numbers.",https://www.remind.com,https://logo.clearbit.com/remind.com,,60.498,,120,"Kleiner Perkins, First Round Capital, Owl Ventures, Social Capital, Imagine K12","ClassDojo, Seesaw, TalkingPoints, Sdui, Brightwheel",,Acquired by ParentSquare (backed by Serent Capital) in November 2023,"Remind Chat, Remind Hub (enterprise communication suite), SMS gateway integration engine, and multi-language auto-translation","Google Classroom, Canvas, Schoology, and thousands of U.S. school districts",3,,Acquisition,Acquired,2026-09-04 16:55:01,2026-09-05 11:23:41,,,,30000000,user,"Consumer & Society, Software & Delivery"
2986,Riiid,"Education, Natural Language Processing, SaaS, Workflow & Productivity, Search",Private company,South Korea,Seoul,2013,"Riiid is an AI-powered education technology company specializing in personalized learning solutions and adaptive test preparation. Best known for its flagship AI tutor ""Santa"" (including Santa TOEIC, Santa SAT, and Santa TOEFL), Riiid leverages proprietary deep learning and knowledge tracing algorithms to predict test performance, diagnose learning gaps, and tailor study plans in real time. The company also offers B2B AI-as-a-Service (AIaaS) solutions to educational institutions and publishers worldwide.",https://riiid.com,https://www.google.com/search?q=https://logo.clearbit.com/riiid.com,,256,,250,"SoftBank Vision Fund 2, IMM Investment, Korea Development Bank (KDB), DSC Investment, Formation Group, Goodwater Capital","Duolingo, Knewton, GoStudent, Century Tech, Carnegie Learning",,"Qualson (acquired 2024), Langoo (acquired 2021)","Santa AI tutoring algorithm, EdNet open dataset (over 100M student interaction data points), and a portfolio of 100+ registered patents","Kaplan, ACT, ConnecME Education, Grupo INICIE",3,,,Active,2026-08-29 07:56:14,2026-09-04 16:47:43,,,,6000000,user,"Artificial Intelligence, Consumer & Society, Software & Delivery"
2999,Seesaw,"Education, Media & Entertainment, Generative Media, Workflow & Productivity, SaaS",Private company,United States,"San Francisco, California",2012,"Seesaw (Seesaw Learning, Inc.) is an elementary learning experience platform that connects PreK-12 students, teachers, and families. The platform provides multimodal learning tools, digital student portfolios, standards-aligned lessons, real-time assessment dashboards, and inclusive school-home communication features to give parents visibility into their child's education.",https://seesaw.com,https://logo.clearbit.com/seesaw.com,,188,45,260,"Providence Equity Partners, Reach Capital, Greylock, Benchmark, Founder Collective, Wayfinder Ventures","ClassDojo, Google Classroom, Brightwheel, Toddle, Remind",,Little Thinking Minds (Acquired 2025 to expand Arabic literacy curricula in the MENA region),"Multimodal creative tools (video, audio, drawing, text), digital student portfolios, automated two-way translation messaging, and digital curriculum libraries",Thousands of school districts and elementary schools across 130+ countries,3,,,Active,2026-09-04 16:55:13,2026-09-05 11:20:18,,,,24999998,user,"Artificial Intelligence, Consumer & Society, Software & Delivery"
3008,Skillshare,"Education, Generative Media, SaaS, Workflow & Productivity, Media & Entertainment",Private company,United States,"New York City, New York",2010,"Skillshare is an online learning community and subscription platform focused on creative education and entrepreneurship. It offers tens of thousands of video-based, project-focused classes covering topics such as illustration, graphic design, photography, filmmaking, UI/UX design, and freelancing.",https://www.skillshare.com,https://www.google.com/search?q=https://logo.clearbit.com/skillshare.com,,143,74.98,500,"OMERS Growth Equity, Union Square Ventures, Spark Capital, Amasia, Burda Principal Investments, Spero Ventures","MasterClass, Udemy, Coursera, CreativeLive, Domestika, LinkedIn Learning",,"Superpeer (acquired 2024), Public Room","Catalog of 35,000+ creative classes, global creator teacher network, project-based student feedback community","Adobe, Spotify, Procreate",3,,,Active,2026-09-04 16:58:17,2026-09-05 11:16:43,,,,12000000,user,"Artificial Intelligence, Consumer & Society, Software & Delivery"
1334,Skoolie AB,Education,,Sweden,,,"Skoolie equips municipalities with AI-powered career counselling tools to reduce administrative overhead, while offering custom chatbots for education providers, directing qualified users to appropriate programs, optimizing both student engagement and institutional efficiency.",https://www.skoolie.se,https://www.google.com/s2/favicons?sz=128&domain=skoolie.se,,,,,,,,,,,0,,,Active,2026-07-22 09:33:08,2026-08-23 17:13:46,,,,,,Consumer & Society
153,Speak,"AI model, Education",,United States,,2016,AI-powered language learning platform providing conversation practice and interactive lessons for learners seeking to develop speaking and listening skills in multiple languages.,https://speak.com,https://www.google.com/s2/favicons?sz=128&domain=speak.com,162,,,,,,,,,,1,,,,2026-07-22 09:03:41,2026-08-23 09:12:42,,,,,,"Artificial Intelligence, Consumer & Society"
1426,The Simulation Crew,"Education, R&D",,Netherlands,,,"The Simulation Crew develops VR games to train communication and social skills. In our VR games players communicate using free speech with realistic avatars, a unique innovation.",https://thesimulationcrew.com/,https://www.google.com/s2/favicons?sz=128&domain=thesimulationcrew.com,,,,,,,,,,,0,,,,2026-07-22 09:33:09,2026-08-23 09:15:53,,,,,,"Consumer & Society, Public Research & Trust"
1429,Thinki,Education,,Germany,,,"Thinki is the first all-in-one AI companion for students. Our AI-powered learning platform helps students use their course materials more efficiently. By converting learning content into various formats such as flashcards, podcasts or video lectures, Thinki supports students in exam preparation and improves their learning comprehension. Thinki offers an easy-to-use solution to reduce workload and increase student success.",https://www.plix-ai.com/,https://www.google.com/s2/favicons?sz=128&domain=plix-ai.com,,,,,,,,,,,0,,,,2026-07-22 09:33:09,2026-08-23 09:16:35,,,,,,Consumer & Society
1608,Turi,"Education, Agentic, AI model, Advertising, Developer Tools",Private company,United States,Seattle,2013,"Turi was a machine learning platform company for developers and data scientists, previously known as GraphLab and then Dato. Apple acquired Turi in 2016 to strengthen its internal machine learning capabilities and applied AI product development, with a focus on on-device privacy and enhancing Siri.",https://turi.com,https://turi.com,,25,,100,"New Enterprise Associates (NEA), Madrona Venture Group, Vulcan Capital",N/A,,Acquired by Apple (2016),"GraphLab Create, Turi Predictive Services, ML frameworks for large-scale data analysis",Apple,1,2016,Acquisition,Acquired,2026-07-29 20:21:19,2026-09-02 13:37:02,,,,,,"Artificial Intelligence, Commercial Functions, Consumer & Society, Software & Delivery"
2991,Udemy,"Education, SaaS, Workflow & Productivity, Developer Tools, Professional Services",Publicly traded company,United States,"San Francisco, California",2010,"Udemy is a global online learning platform and marketplace offering over 250,000 skill-based courses in technology, business, design, and personal development subjects. Operating both a direct-to-consumer learning platform and a B2B corporate product (Udemy Business), the platform enables independent instructors to create and monetize educational content while providing organizations and individuals with flexible upskilling tools.",https://www.udemy.com,https://logo.clearbit.com/udemy.com,670,300,790,1200,"Insight Partners, Norwest Venture Partners, Stripes, Learn Capital, Prosus (Naspers), Baillie Gifford","Coursera, edX, LinkedIn Learning, Skillshare, Pluralsight",,"CorpU, Skillatory","Marketplace database of 250,000+ courses in 75+ languages, network of 85,000+ active instructors, and proprietary learning analytics dashboard","Samsung, Cisco, Fender, Booz Allen Hamilton",3,,,Active,2026-09-04 09:17:12,2026-09-04 16:51:20,,,,84000000,user,"Consumer & Society, Finance & Capital, Software & Delivery"
1766,University of Berlin,"AI model, Education, R&D",Academic,,,,"Humboldt University of Berlin is a leading German research university. The university conducts extensive research in artificial intelligence, machine learning, and computational sciences.",,https://www.google.com/s2/favicons?sz=128&domain=universityof.com,,,,,,,Reverse.Fashion,,,,0,,,Active,2026-07-30 09:41:41,2026-08-23 09:15:09,,,,,,"Artificial Intelligence, Consumer & Society, Public Research & Trust"
2996,UWorld,"Education, Workflow & Productivity, SaaS, MedTech, HealthTech",Private company,United States,"Coppell, Texas",2003,"UWorld is a test preparation and learning platform designed for high-stakes academic and professional credentialing exams across medical (USMLE, COMLEX), nursing (NCLEX), pharmacy (RxPrep), finance/accounting (CPA, CFA, CMA), legal (Themis Bar Review, JD-Next), and college admissions (SAT, ACT, AP). Founded by physician Dr. Chandra S. Pemmasani, the platform is recognized for its high-yield question banks, detailed visual rationales, active-learning study engines, and exam-day interface simulations.",https://www.uworld.com/,https://www.google.com/search?q=https://logo.clearbit.com/uworld.com,,,105,848,Bootstrapped / Founder-controlled,"MBOSS, Kaplan, Princeton Review, Becker, Sketchy, Osmosis, Blueprint Test Prep",,"Surgent Accounting & Financial Education (2026), Aspen Publishing (2024), Wiley's Efficient Learning portfolio (2023), Roger CPA Review (2019), RxPrep (2020), Themis Bar Review","Proprietary Q-bank engine, step-by-step visual explanations, adaptive performance analytics, smart flashcard system, and multi-platform mobile applications","Medical schools, nursing programs, high schools, universities, and professional accounting/finance associations",3,,,Active,2026-09-04 16:54:20,2026-09-05 12:41:10,,,,5000000,user,"Consumer & Society, Health & Life Sciences, Software & Delivery"
