input_name,name_official,db_id,db_match,action,duplicate_ids,duplicate_action,duplicate_notes,website,logo_url,country,headquarter_city,founded_year,sector,organization_type,company_status,capitalization,funds_raised,revenue_millions,profit_millions,employees_count,community_size,community_unit,main_investors,main_competitors,main_acquisitions,strategic_partnerships,key_resources,founders,description,sources,confidence_notes
Cleerly,Cleerly,,new,create,,none,NEW. No Cleerly / Cleerly Health row.,https://cleerlyhealth.com,https://www.google.com/s2/favicons?sz=128&domain=cleerlyhealth.com,United States,Denver,2017,"MedTech, Computer Vision",Private company,Active,729.0,386.0,,,359,,,"Insight Partners, Battery Ventures, T. Rowe Price, Fidelity, Cigna Ventures, Novartis, Vensana Capital, New Leaf Venture Partners, Peter Thiel","HeartFlow, Elucid, Ultromics, CorVista Health",,,"AI coronary CT angiography, plaque quantification",James Min,"Cleerly was founded in 2017 by cardiologist James Min to make coronary artery disease assessment more consistent. Colleague recap reports about USD 192 million of cumulative financing.
The product analyses coronary CT angiography images and quantifies plaque and cardiovascular risk for hospitals, imaging providers and clinicians.
This is diagnostic imaging AI (MedTech), not hospital-operations HealthTech. A December 2024 Series C extension led by Insight Partners (USD 106 million) took disclosed post-money valuation to about USD 729 million (Forge). Headquarters are in Denver.
Provenance: class HealthTech enrichment, September 2026 (merged with colleague recap).",https://cleerlyhealth.com/ | https://cleerlyhealth.com/about/ | https://www.crunchbase.com/organization/cleerly | https://forgeglobal.com/cleerly_stock/ | https://tracxn.com/d/companies/cleerly/__RgOFPT-dwC8tsXR9gKnk1IYpbCR35IEy-sESa98aE6Y | https://www.cbinsights.com/company/cleerly,"Colleague labeled HealthTech; reclassified MedTech, Computer Vision (cardiac CT AI). funds_raised 192 from colleague recap. No DB match. | Colleague funds 192 was the Jul 2022 Series C press number only. Cumulative ~386 (Forge) / 388 (CB Insights); 386 used. Tracxn 578 not used (outlier). capitalization 729 is Dec 2024 Series C extension post-money (Forge/Insight USD 106M). HQ Denver (Forge/Tracxn/CB Insights) not colleague New York. employees 359 Tracxn 30 Jun 2026. founded_year kept 2017 (colleague); Tracxn says 2016."
Regard,Regard,,new,create,,none,NEW. No Regard / HealthTensor row.,https://www.hireregard.com,https://www.google.com/s2/favicons?sz=128&domain=hireregard.com,United States,Los Angeles,2017,"HealthTech, Document AI",Private company,Active,350.0,81.0,,,95,,,"Oak HC/FT, Cedars-Sinai Health Ventures, TenOneTen Ventures, Calibrate Ventures, Techstars","Pieces, Solventum, Abridge, Epic Systems",,"Epic, Oracle Health, Banner Health, Cedars-Sinai, WakeMed, OpenAI","EHR clinical insights, documentation and CDI","Eli Ben-Joseph, Thomas Moulia, Nate Wilson","Regard (formerly HealthTensor) is a Los Angeles hospital-software company founded in 2017 by Eli Ben-Joseph, Thomas Moulia and Nate Wilson (VentureBeat 2020 seed coverage).
It analyses patient records to help physicians identify conditions, improve documentation and support hospital revenue-cycle and quality workflows.
Sales are enterprise deployments to hospitals and health systems. Colleague recap had empty founders and funds; funds still empty (no confirmed cumulative total in this pass). In July 2024 Regard closed a USD 61 million Series B led by Oak HC/FT at a reported USD 350 million valuation (TechCrunch), with Banner, Sentara, Montefiore, Cedars-Sinai and WakeMed among health-system customers.
Provenance: class HealthTech enrichment, September 2026 (merged with colleague recap).",https://www.hireregard.com/ | https://www.hireregard.com/about | https://venturebeat.com/ai/healthtensor-raises-5-million-for-ai-that-augments-and-corrects-medical-records/ | https://techcrunch.com/2024/07/11/ai-powered-regard-nabs-61m-to-find-missed-illness-boost-hospital-revenue/ | https://www.oakhcft.com/news/regard-raises-61m-to-close-the-clinical-insights-gap-in-healthcare-with-leading-ai-solution | https://www.mobihealthnews.com/news/regard-secures-61m-research-llms-expand-clinical-insights-platform,"Founders filled from HealthTensor/VentureBeat coverage; colleague recap left them empty. funds_raised left empty. HealthTech (hospital documentation), not MedTech. | funds_raised 81 = seed 5 + Series A 15.3 + Series B 61 (MobiHealthNews/TechCrunch). capitalization 350 from TechCrunch Jul 2024 (person familiar). employees 95 is an aggregator 2026 figure. CEO named Pieces and 3M/Solventum Engage One as competitors."
Komodo Health,Komodo Health,,new,create,,none,NEW. No Komodo Health row.,https://www.komodohealth.com,https://www.google.com/s2/favicons?sz=128&domain=komodohealth.com,United States,San Francisco,2014,"HealthTech, Data",Private company,Active,3300.0,514.0,,,746,,,"Tiger Global Management, Andreessen Horowitz, ICONIQ Growth, Casdin Capital, Coatue, Dragoneer, Oak HC/FT, SVB Capital, IA Ventures, Felicis","IQVIA, Flatiron Health, Clarify Health, Owkin","Mavens (2021), Breakaway Partners",,"Healthcare Map, de-identified patient-journey analytics","Arif Nathoo, Web Sun","Komodo Health was founded in 2014 by Arif Nathoo and Web Sun. Colleague recap reports about USD 514 million raised.
Its Healthcare Map combines de-identified patient, provider, clinical and market data with analytics software sold to life-sciences and healthcare enterprises.
This is healthcare data infrastructure (HealthTech, Data), not a medical device. The March 2021 Series E led by Tiger Global valued the company at USD 3.3 billion; Komodo acquired Mavens (cloud tools for life sciences) around the Series D.
Provenance: class HealthTech enrichment, September 2026 (merged with colleague recap).",https://www.komodohealth.com/ | https://www.komodohealth.com/about | https://www.crunchbase.com/organization/komodo-health | https://www.komodohealth.com/press/komodo-health-secures-220m-in-funding-led-by-tiger-global/ | https://www.mobihealthnews.com/news/health-data-analytics-startup-komodo-healths-220m-series-e-propels-it-33b-valuation | https://tracxn.com/d/companies/komodo-health/__ba7AjSidNzZGP0Zt7Zt9yWQ88d-MzSfyyeLyKue5KwY,funds_raised 514 from colleague recap (USD 514000000). No DB match. Short name Komodo not present as another health firm. | capitalization 3300 is March/Nov 2022 Series E (four years stale). funds_raised 514 kept. employees 746 Tracxn 30 Jun 2026 (Revelio Mar 2026 994 not used). HQ also New York; San Francisco kept from colleague.
Freenome,"Freenome, Inc.",,new,create,,none,NEW. No Freenome row.,https://www.freenome.com,https://www.google.com/s2/favicons?sz=128&domain=freenome.com,United States,Brisbane,2014,Biotech,Publicly traded company,Active,1240.0,1428.0,,,309,,,"Roche, Perceptive Advisors, RA Capital Management, Andreessen Horowitz, GV, Fidelity, Bain Capital Life Sciences, Exact Sciences","Guardant Health, Exact Sciences, Grail, Natera",,"Roche, Exact Sciences, Abbott","multiomics blood tests, cancer screening ML","Gabe Otte, Riley Ennis","Freenome was founded in 2014 by Gabe Otte to develop blood-based cancer screening. Colleague recap reports more than USD 1.1 billion in total funding.
The company combines multiomics, machine learning and blood analysis to look for disease signals and develops diagnostic tests with providers, laboratories and pharma partners.
Reclassified Biotech (IVD / omics), not HealthTech hospital software. On 20 July 2026 Freenome closed a SPAC combination with Perceptive Capital Solutions and began trading on Nasdaq as FRNM on 21 July, with about USD 310 million of gross proceeds (USD 240 million PIPE plus trust cash). Commercial partners include Roche (ex-US kit rights), Exact Sciences and Abbott; colorectal competitor Guardant Health already sells Shield.
Provenance: class HealthTech enrichment, September 2026 (merged with colleague recap).",https://www.freenome.com/ | https://www.freenome.com/about-us/ | https://www.crunchbase.com/organization/freenome | https://www.freenome.com/newsroom/freenome-debuts-as-a-publicly-traded-company-focused-on-blood-based-early-cancer-detection/ | https://www.prnewswire.com/news-releases/freenome-raises-300m-in-series-d-financing-to-advance-multiomics-platform-for-early-cancer-detection-301438649.html | https://www.medtechdive.com/news/freenome-spac-deal-public-listing-blood-test/807247/,Colleague labeled HealthTech; reclassified Biotech. funds_raised 1100 from colleague recap. No DB match. | Public Nasdaq FRNM from 21 Jul 2026 (SPAC with Perceptive Capital Solutions). capitalization 1240 is WallStreetZen ~14 Aug 2026 print — volatile. funds_raised 1428 from CB Insights (includes PIPE); colleague 1100 was pre-listing. HQ Brisbane on company debut PR (South San Francisco still an office). employees 309 LinkedIn. LinkedIn aggregator revenue 650 omitted (unverified). Dealroom also lists Riley Ennis among founders.
Color Health,Color Health,,new,create,539,do_not_merge,"NOT colormass #539 (Germany, Marketing/Sales). Color Health is US genetic testing / population health.",https://www.color.com,https://www.google.com/s2/favicons?sz=128&domain=color.com,United States,South San Francisco,2013,HealthTech,Private company,Active,4600.0,491.0,,,249,,,"General Catalyst, T. Rowe Price, Kindred Ventures, Viking Global Investors, Emerson Collective, Khosla Ventures, CRV","Accolade, Included Health, 23andMe, Tempus",,"Priority Health, Cleveland Clinic","genetic testing, population health programs, care navigation","Othman Laraki, Elad Gil","Color Health was founded in 2013 by Othman Laraki and Elad Gil (originally Color Genomics). Colleague recap reports about USD 600 million raised.
Color provides genetic testing, screening, care navigation and software that helps employers, health systems, public agencies and payers run population-health programs.
Kept as HealthTech (care programs / navigation for institutions), not a radiology MedTech firm. Color now operates an ASCO-certified virtual cancer clinic for employers and health plans; a June 2026 PR with Priority Health listed headquarters in South San Francisco.
Provenance: class HealthTech enrichment, September 2026 (merged with colleague recap).",https://www.color.com/ | https://www.color.com/about | https://www.crunchbase.com/organization/color-genomics | https://www.morningstar.com/news/pr-newswire/20260609ny78888/color-health-partners-with-priority-health-to-expand-access-to-colors-virtual-cancer-clinic | https://tracxn.com/d/companies/color/__1gNGMHJ60UQ-cz_YUz_-5vjRGcOZE4GrnoKxWys_Gjk | https://linkedin.com/company/color,funds_raised 600 from colleague recap. NOT colormass #539 (Germany marketing). Former name Color Genomics is not a separate DB row. | funds_raised 491 Tracxn (8 rounds) replaces colleague 600. LinkedIn lists 482. capitalization 4600 is Oct 2021 Series E — five years stale. HQ South San Francisco on 2026 Color PR (colleague had Burlingame). employees 249 LinkedIn (Tracxn 638 not used).
Forward Health,Forward,,new,create,,none,NEW. No Forward / GoForward enterprise row.,https://goforward.com,https://www.google.com/s2/favicons?sz=128&domain=goforward.com,United States,San Francisco,2016,HealthTech,Private company,Inactive,,400.0,,,200,,,"SoftBank Vision Fund 2, Founders Fund, Khosla Ventures, First Round Capital, Salesforce","One Medical, Carbon Health, Teladoc Health, Included Health",,,"membership primary care, CarePods",Adrian Aoun,"Forward was founded in 2016 by Adrian Aoun as a technology-enabled primary-care company with membership clinics and later CarePods (self-serve AI screening kiosks).
On 12 November 2024 the company announced it was immediately closing all locations, cancelling visits and shutting the mobile app (Fierce Healthcare, Business Insider, Becker's).
Colleague recap listed USD 225 million raised and did not record the shutdown. Fierce described the firm as having raised about USD 400 million; Business Insider cited over USD 650 million after a 2023 Series E. 400 used as the conservative named Fierce figure. company_status Inactive (closure). Series D in 2021 was led by SoftBank Vision Fund 2 and Founders Fund at a reported USD 1 billion-plus valuation (Reuters).
Provenance: class HealthTech enrichment, September 2026 (merged with colleague recap).",https://goforward.com/ | https://www.fiercehealthcare.com/health-tech/primary-care-player-forward-shutters-after-raising-400m-rolling-out-carepods | https://www.businessinsider.com/healthcare-startup-forward-shutdown-carepod-adrian-aoun-2024-11 | https://www.reuters.com/world/exclusive-forward-health-valued-over-1-bln-latest-funding-softbank-others-source-2021-03-11/,"CLOSED Nov 2024. Colleague recap still treated it as a going concern and funds 225 (stale vs Fierce 400 / BI 650). funds_raised 400 from Fierce. capitalization emptied. No DB match. Not to be confused with generic name Forward. | funds_raised kept 400 (Fierce) vs BI 650 — 400 already in file; BI over-650 noted previously. Series D 2021 investors SoftBank Vision Fund 2 and Founders Fund (Reuters); also Khosla, Benioff. employees ~200 at shutdown (The Information via Fierce). capitalization not restated (2021 unicorn mark is obsolete after closure)."
Memora Health,Memora Health,,new,create,2455,do_not_merge,NOT Memorae AI #2455 (AI model). Memora Health is US care-management software.,https://memorahealth.com,https://www.google.com/s2/favicons?sz=128&domain=memorahealth.com,United States,San Francisco,2018,HealthTech,Private company,Acquired,,80.0,,,,,,"General Catalyst, Andreessen Horowitz, Transformation Capital, Frist Cressey Ventures, Northwell Holdings","Luma Health, Wellframe, Twistle, Commure",,"Virtua Health, Moffitt Cancer Center, Northwell Health","intelligent care-management, automated patient communication","Manas Kaushik, Pathikrit Sanyal","Memora Health was founded in 2018 by Manas Kaushik and Pathikrit Sanyal. Colleague recap reports about USD 80 million raised.
The platform automates patient communication, collects structured information and helps care teams coordinate complex pathways for health systems, providers and life-sciences customers.
HealthTech (care-management software for hospitals), not MedTech. On 20 December 2024 Commure acquired Memora Health in an all-stock deal (price undisclosed). The April 2023 USD 30 million round was led by General Catalyst with a16z, Transformation Capital, Frist Cressey and Northwell.
Provenance: class HealthTech enrichment, September 2026 (merged with colleague recap).",https://memorahealth.com/ | https://memorahealth.com/about | https://www.crunchbase.com/organization/memora-health | https://www.commure.com/press-releases/commure-acquires-memora-health-to-enhance-intelligent-care-navigation | https://www.memorahealth.com/news/memora-health-announces-30m-investment-to-scale-intelligent-care-enablement-platform | https://www.globenewswire.com/news-release/2024/12/20/3000557/0/en/Commure-Acquires-Memora-Health-a-Digital-Care-Navigation-Platform-to-Enhance-Intelligent-Care-Navigation.html,"funds_raised 80 from colleague recap. NOT Memorae AI #2455. | ACQUIRED by Commure 20 Dec 2024 (all-stock, price undisclosed). company_status Acquired. Colleague recap still treated Memora as independent. funds_raised 80 kept as cumulative (last disclosed round USD 30M Apr 2023 led by General Catalyst)."
Sword Health,Sword Health,,new,create,,none,NEW. No Sword Health row. Short name Sword not present.,https://swordhealth.com,https://www.google.com/s2/favicons?sz=128&domain=swordhealth.com,United States,New York,2015,"HealthTech, AI model",Private company,Active,4000.0,380.0,240.0,,1100,1000,enterprise clients (Jan 2026 company PR),"General Catalyst, Khosla Ventures, Comcast Ventures, Lince Capital, Transformation Capital, Founders Fund","Hinge Health, Omada Health, Vori Health",Kaia Health (2026),NHS (Portugal MSK partnership cited on Kaia PR),"AI Care, motion-sensor PT, Mind mental health",Virgílio Bento,"Sword Health was founded in 2015 by Virgílio Bento in Portugal and is now based in New York (CNBC). On 17 June 2025 it announced a USD 40 million round led by General Catalyst at a USD 4 billion valuation (Reuters, company newsroom). TechCrunch said that round brought total funding to USD 380 million.
Sword sells AI-enabled digital physical therapy, pelvic health and (from 2025) Mind mental-health programs to employers and health plans. On 28 January 2026 it announced the acquisition of Kaia Health for USD 285 million.
Colleague recap had funds 300 (pre-2025 round) and no valuation. capitalization 4000 is the June 2025 round mark. TechCrunch (June 2025) cited about USD 240 million of annual revenue run-rate when the USD 4 billion round was announced.
Provenance: class HealthTech enrichment, September 2026 (merged with colleague recap).",https://swordhealth.com/ | https://swordhealth.com/newsroom/sword-health-raises-40m-launches-mind | https://www.reuters.com/business/healthcare-pharmaceuticals/sword-health-valued-4-billion-latest-funding-round-2025-06-17/ | https://techcrunch.com/2025/06/17/sword-health-nabs-40m-at-4b-valuation-pushes-ipo-plans-to-at-least-2028/ | https://swordhealth.com/newsroom/sword-acquires-kaia-health,"Colleague funds 300 overwritten by TechCrunch total 380 after June 2025 round. Company Kaia PR (Jan 2026) says 'more than USD 500 million' — 380 kept as the numbered TechCrunch total; 500 noted. CNBC PitchBook 450 as of Sep 2025 also noted. Headspace deal rumoured 2026 not included (not confirmed closed). | revenue 240 is TechCrunch Jun 2025 annual run-rate cited by CEO coverage, not a statutory year. employees 1100 Latka Nov 2025 (Revelio Mar 2026 1541 not used)."
Hinge Health,"Hinge Health, Inc.",,new,create,,none,NEW. No Hinge Health row.,https://www.hingehealth.com,https://www.google.com/s2/favicons?sz=128&domain=hingehealth.com,United States,San Francisco,2014,HealthTech,Publicly traded company,Active,7050.0,,588.0,-528.0,1437,25000000,contracted lives (FY2025 earnings),"Insight Partners, Atomico, Coatue, Tiger Global Management, Bessemer Venture Partners, 11.2 Capital","Sword Health, Omada Health, Vori Health",,,"digital physical therapy, computer vision, wearable sensors","Daniel Perez, Gabriel Mecklenburg","Hinge Health was co-founded by Daniel Perez and Gabriel Mecklenburg (Atomico; Reuters). Atomico dates the founding to 2014 in London before the San Francisco HQ; colleague recap had 2015 and listed Gabriel Parisi-Amon (not used — S-1/press name is Mecklenburg).
The company delivers digital musculoskeletal care (exercise therapy, computer vision, sensors, coaching) sold to employers and health plans. It listed on the NYSE as HNGE on 22 May 2025 (Reuters/CNBC/TechCrunch). First-day market cap was about USD 3 billion, well below the USD 6.2 billion October 2021 Series E mark.
Colleague recap had empty funds and no IPO. funds_raised left empty: CNBC said more than USD 1 billion of private capital; Forge listed USD 826 million pre-IPO — conflict, so not written. FY2025 results (10 Feb 2026): USD 587.9 million of revenue (up 51 percent), 25 million contracted lives and 1,437 full-time employees at year-end. GAAP net loss for 2025 was about USD 528 million (PitchBook), reflecting IPO-year accounting.
Provenance: class HealthTech enrichment, September 2026 (merged with colleague recap).",https://www.hingehealth.com/ | https://www.reuters.com/business/healthcare-pharmaceuticals/hinge-health-raises-4373-million-us-ipo-2025-05-21/ | https://techcrunch.com/2025/05/22/hinge-health-pops-17-but-joins-growing-ranks-of-down-round-ipos/ | https://www.cnbc.com/2025/05/22/hinge-health-shares.html | https://atomico.com/partners/hinge-health | https://ir.hingehealth.com/news/news-details/2026/Hinge-Health-reports-fourth-quarter-and-full-year-2025-financial-results/default.aspx | https://www.opencapital.sh/filings/0001628280-26-013808 | https://stockanalysis.com/stocks/hnge/statistics/,"Public NYSE HNGE. capitalization 3000 is May 2025 first-day TechCrunch/CNBC print — one year stale, not a 2026 mark-to-market. founded_year 2014 (Atomico/Reuters) not colleague 2015. Founder name corrected to Mecklenburg. funds_raised empty (826 vs >1000). No DB match; dating-app Hinge not in enterprises. | FY2025 company earnings: revenue 587.9, contracted lives 25 million, members 782890. profit_millions -528 is PitchBook FY2025 net income (IPO-year GAAP, large SBC) — not operating profit; 10-K employees 1437 at 31 Dec 2025. capitalization 7050 is StockAnalysis ~Sep 2026 public print (PitchBook 6.74B on 17 Jul 2026) — volatile. funds_raised still empty (826 Forge vs CNBC >1000). FY2026 guide 732-742 revenue not written as actuals."
Included Health,Included Health,,new,create,,none,NEW. No Included Health / Grand Rounds / Doctor On Demand enterprise row.,https://includedhealth.com,https://www.google.com/s2/favicons?sz=128&domain=includedhealth.com,United States,San Francisco,2011,HealthTech,Private company,Active,,,,,1727,,,"Venrock, Accel, Andreessen Horowitz, Founders Fund, Greylock","Teladoc Health, Accolade, Doctor On Demand, Hinge Health, Color Health",Doctor On Demand (combination with Grand Rounds),,"virtual primary/urgent care, expert medical opinion, care navigation","Owen Tripp, Lawrence Hofmann","Included Health was formed from Grand Rounds (founded 2011) later combined with Doctor On Demand into an integrated virtual-care and navigation company.
It connects members with virtual primary and urgent care, behavioral health, specialist guidance and healthcare navigation, sold mainly to employers and health plans.
Colleague recap had empty founders and funds; both left empty (no primary cumulative total confirmed in this pass). Grand Rounds and Doctor On Demand are not separate rows in the DB. Grand Rounds was co-founded by Owen Tripp and Dr Lawrence Hofmann; the March 2021 all-stock merger with Doctor On Demand created a multi-billion-dollar private company (CNBC). Included later dropped 2022 IPO plans; Business Insider reported in January 2025 that the combined firm was profitable.
Provenance: class HealthTech enrichment, September 2026 (merged with colleague recap).",https://includedhealth.com/ | https://includedhealth.com/about/ | https://www.crunchbase.com/organization/included-health | https://www.cnbc.com/2021/03/16/grand-rounds-doctor-on-demand-merge-in-multibillion-dollar-deal.html | https://www.businessinsider.com/included-health-profitable-growing-2022-ipo-plans-go-public-2025-1 | https://tracxn.com/d/companies/includedhealth/__IxjXZOxINy4NAxu5CS-kbcU9ezLT0OMxvSSWpcrGrjQ,"Create one canonical Included Health row. Do not also create Grand Rounds or Doctor On Demand. founders and funds_raised empty (colleague empty; not invented). | founders are Grand Rounds co-founders Owen Tripp (CEO) and Lawrence 'Rusty' Hofmann (CNBC/company). Doctor On Demand lineage (Phil McGraw, Jay McGraw, Adam Jackson) not listed as Included founders. funds_raised left empty: Tracxn USD 2.28M is the pre-merger LGBTQ Included Health entity, not Grand Rounds. 2021 merger was all-stock; Grand Rounds last marked USD 1.34B, Doctor On Demand ~820-875 (CNBC). capitalization empty. employees 1727 Tracxn 30 Jun 2026. Business Insider Jan 2025: profitable, 2022 IPO abandoned."
